car	bike	male	female	run1	run2	run3	run4	run5	acc
0.52	0.54	0.54	0.61	0.52	0.66	0.52	0.53	0.54	0.55
0.78	0.56	0.67	0.77	0.7	0.77	0.73	0.73	0.55	0.69
0.35	0.49	0.41	0.44	0.26	0.4	0.49	0.5	0.48	0.42
0.7	0.7	0.66	0.73	0.65	0.71	0.69	0.74	0.74	0.7
0.64	0.72	0.68	0.67	0.63	0.67	0.71	0.67	0.71	0.68
0.69	0.67	0.71	0.73	0.64	0.68	0.7	0.73	0.77	0.7
0.61	0.78	0.69	0.71	0.69	0.67	0.75	0.73	0.65	0.7
0.67	0.71	0.6	0.67	0.66	0.72	0.69	0.67	0.59	0.67
0.51	0.64	0.52	0.52	0.5	0.52	0.53	0.6	0.6	0.55
0.65	0.71	0.59	0.58	0.6	0.63	0.72	0.61	0.59	0.63
0.62	0.57	0.64	0.67	0.62	0.62	0.64	0.58	0.67	0.62
0.78	0.74	0.81	0.81	0.69	0.8	0.8	0.82	0.8	0.78
0.75	0.79	0.75	0.77	0.72	0.78	0.78	0.79	0.76	0.76
0.69	0.67	0.71	0.73	0.77	0.73	0.68	0.62	0.7	0.7
0.71	0.74	0.78	0.75	0.68	0.73	0.81	0.74	0.78	0.75
0.31	0.33	0.26	0.36	0.23	0.28	0.35	0.36	0.36	0.32
0.87	0.87	0.81	0.84	0.83	0.89	0.83	0.84	0.87	0.85
0.8	0.81	0.76	0.79	0.73	0.76	0.79	0.85	0.82	0.79
0.88	0.85	0.86	0.88	0.8	0.85	0.89	0.91	0.89	0.87
0.64	0.63	0.67	0.75	0.58	0.66	0.71	0.67	0.73	0.67
0.76	0.78	0.79	0.8	0.78	0.79	0.76	0.82	0.76	0.78
0.53	0.63	0.67	0.7	0.58	0.63	0.62	0.64	0.7	0.63
0.61	0.64	0.55	0.61	0.6	0.56	0.64	0.6	0.61	0.6
0.84	0.79	0.74	0.72	0.74	0.8	0.79	0.77	0.77	0.77
